t,x=0.00,x=0.05,x=0.10,x=0.15,x=0.20,x=0.25,x=0.30,x=0.35,x=0.40,x=0.45,x=0.50,x=0.55,x=0.60,x=0.65,x=0.70,x=0.75,x=0.80,x=0.85,x=0.90,x=0.95,x=1.00
0.070000,0.00000000,0.07211751,0.14238702,0.20902175,0.27035251,0.32487493,0.37128530,0.40850420,0.43568924,0.45223971,0.45779636,0.45223971,0.43568924,0.40850420,0.37128530,0.32487493,0.27035251,0.20902175,0.14238702,0.07211751,0.00000000
0.071000,0.00000000,0.07138781,0.14095138,0.20692585,0.26766054,0.32166533,0.36764613,0.40452901,0.43147393,0.44788057,0.45338934,0.44788057,0.43147393,0.40452901,0.36764613,0.32166533,0.26766054,0.20692585,0.14095138,0.07138781,0.00000000
0.072000,0.00000000,0.07066734,0.13953350,0.20485497,0.26499926,0.31849033,0.36404390,0.40059187,0.42729700,0.44355979,0.44902065,0.44355979,0.42729700,0.40059187,0.36404390,0.31849033,0.26499926,0.20485497,0.13953350,0.07066734,0.00000000
0.073000,0.00000000,0.06995584,0.13813291,0.20280852,0.26236800,0.31534932,0.36047812,0.39669246,0.42315829,0.43927735,0.44469030,0.43927735,0.42315829,0.39669246,0.36047812,0.31534932,0.26236800,0.20280852,0.13813291,0.06995584,0.00000000
0.074000,0.00000000,0.06925306,0.13674917,0.20078591,0.25976614,0.31224173,0.35694833,0.39283047,0.41905764,0.43503317,0.44039824,0.43503317,0.41905764,0.39283047,0.35694833,0.31224173,0.25976614,0.20078591,0.13674917,0.06925306,0.00000000
0.075000,0.00000000,0.06855878,0.13538184,0.19878661,0.25719310,0.30916700,0.35345409,0.38900558,0.41499485,0.43082715,0.43614442,0.43082715,0.41499485,0.38900558,0.35345409,0.30916700,0.25719310,0.19878661,0.13538184,0.06855878,0.00000000
0.076000,0.00000000,0.06787278,0.13403055,0.19681009,0.25464833,0.30612462,0.34999496,0.38521748,0.41096973,0.42665920,0.43192877,0.42665920,0.41096973,0.38521748,0.34999496,0.30612462,0.25464833,0.19681009,0.13403055,0.06787278,0.00000000
0.077000,0.00000000,0.06719486,0.13269491,0.19485587,0.25213128,0.30311408,0.34657052,0.38146584,0.40698208,0.42252916,0.42775116,0.42252916,0.40698208,0.38146584,0.34657052,0.30311408,0.25213128,0.19485587,0.13269491,0.06719486,0.00000000
0.078000,0.00000000,0.06652483,0.13137458,0.19292349,0.24964146,0.30013489,0.34318034,0.37775036,0.40303165,0.41843690,0.42361149,0.41843690,0.40303165,0.37775036,0.34318034,0.30013489,0.24964146,0.19292349,0.13137458,0.06652483,0.00000000
0.079000,0.00000000,0.06586251,0.13006921,0.19101252,0.24717839,0.29718659,0.33982403,0.37407070,0.39911824,0.41438224,0.41950960,0.41438224,0.39911824,0.37407070,0.33982403,0.29718659,0.24717839,0.19101252,0.13006921,0.06586251,0.00000000
0.080000,0.00000000,0.06520773,0.12877851,0.18912254,0.24474161,0.29426873,0.33650119,0.37042657,0.39524159,0.41036501,0.41544534,0.41036501,0.39524159,0.37042657,0.33650119,0.29426873,0.24474161,0.18912254,0.12877851,0.06520773,0.00000000
0.081000,0.00000000,0.06456033,0.12750217,0.18725315,0.24233068,0.29138088,0.33321144,0.36681763,0.39140147,0.40638500,0.41141852,0.40638500,0.39140147,0.36681763,0.33321144,0.29138088,0.24233068,0.18725315,0.12750217,0.06456033,0.00000000
0.082000,0.00000000,0.06392016,0.12623991,0.18540399,0.23994518,0.28852261,0.32995440,0.36324357,0.38759762,0.40244202,0.40742897,0.40244202,0.38759762,0.36324357,0.32995440,0.28852261,0.23994518,0.18540399,0.12623991,0.06392016,0.00000000
0.083000,0.00000000,0.06328708,0.12499145,0.18357470,0.23758471,0.28569354,0.32672970,0.35970409,0.38382977,0.39853584,0.40347647,0.39853584,0.38382977,0.35970409,0.32672970,0.28569354,0.23758471,0.18357470,0.12499145,0.06328708,0.00000000
0.084000,0.00000000,0.06266095,0.12375656,0.18176493,0.23524888,0.28289327,0.32353697,0.35619886,0.38009767,0.39466624,0.39956081,0.39466624,0.38009767,0.35619886,0.32353697,0.28289327,0.23524888,0.18176493,0.12375656,0.06266095,0.00000000
0.085000,0.00000000,0.06204163,0.12253498,0.17997436,0.23293733,0.28012142,0.32037587,0.35272757,0.37640105,0.39083299,0.39568178,0.39083299,0.37640105,0.35272757,0.32037587,0.28012142,0.23293733,0.17997436,0.12253498,0.06204163,0.00000000
